Dimension,Precision,Recall,AUC,Brier
Change,0.0024705536055150057,0.5933898305923567,0.6258007050716133,0.34188222736201057
Text,0.001994421687682539,0.5649448628190555,0.5869969368370102,0.3910393074355122
Developer,0.006570381823122766,0.7676999981047652,0.7979766105084992,0.17184670387477324
Project,0.002699297974100607,0.5259795553583402,0.6168159515720897,0.2924664638556994
File,0.0016284946627639122,0.48210268621100105,0.5259620806844767,0.4302947538690695
Pairs,0.007248860372559905,0.6548161556296911,0.7639592738229809,0.1272214399339276
