Dimension,Precision,Recall,AUC,Brier
Change,0.18460823275194643,0.9318971603649228,0.8194316700806492,0.276269170772391
Text,0.1714624598213001,0.9418810574893328,0.8113672530878409,0.29954901385392374
Developer,0.10438967181061472,0.860846783341428,0.6460604068411768,0.5416528951148316
Project,0.1769860564013248,0.9553643450783016,0.817475217238328,0.29955519174633577
File,0.18099883877274042,0.9468640663382739,0.8217388834086552,0.28450275688448884
