Dimension,Precision,Recall,AUC,Brier
Change,0.01071623627751991,0.7663329211814892,0.830998002416848,0.1044838392377961
Text,0.010450746218557629,0.7586529031083319,0.8253021499298001,0.10818181426193815
Developer,0.008885056815662162,0.7401751160224983,0.8090258188433198,0.12226190873333094
Project,0.011707860259310213,0.7637202304197552,0.8364192900701998,0.09108330874954058
File,0.0108955161895259,0.7630080859615583,0.8309691164964953,0.10121289304727339
Pairs,0.005474465589151829,0.7346743368766011,0.7710648019983644,0.1925905791733721
