Dimension,Precision,Recall,AUC,Brier
Change,0.08800037553037993,0.5188973595236547,0.5631708780882216,0.39653111341065994
Text,0.09170776336633732,0.5454702419556592,0.5726983586265304,0.4032155930004479
Developer,0.16981257739948888,0.911599697814369,0.7950021342103437,0.3041870665822355
Project,0.07670779531388514,0.8101185451519214,0.5435443967709984,0.689806477520194
File,0.08515979165718862,0.417928925921748,0.5442513112661646,0.3495266189939302
