pctg_inter_dep_cha,src_trgt_co_changed_nbr,dev_in_src_change_nbr,rev_in_src_change_nbr,num_shrd_desc_tkns,num_shrd_file_tkns,has_feature_addition_target,deletions_target,cross_project_changes_target,insertions_target,num_file_types_target,is_preventive_target,last_mth_cro_proj_nbr_target,project_changes_owner_target,is_refactoring_target,is_merge_target,num_directory_files_target,is_corrective_target,description_length_target,num_file_changes_target,project_age_target,is_non_functional_target,last_mth_dep_proj_nbr_target,ratio_dep_chan_owner_target,projects_contributed_owner_target,pctg_cross_project_changes_target,pctg_cross_project_changes_owner_target,has_feature_addition_source,deletions_source,insertions_source,num_file_types_source,is_preventive_source,last_mth_cro_proj_nbr_source,project_changes_owner_source,is_refactoring_source,cross_project_changes_owner_source,whole_within_project_changes_source,is_merge_source,num_directory_files_source,is_corrective_source,description_length_source,num_file_changes_source,project_age_source,is_non_functional_source,last_mth_dep_proj_nbr_source,ratio_dep_chan_owner_source,projects_contributed_owner_source,pctg_cross_project_changes_source,pctg_cross_project_changes_owner_source,desc_sim,subject_sim,add_lines_sim,del_lines_sim,pred,impact,fold,whole_changes_owner_target,whole_changes_owner_source,cross_project_changes_source
27.33478506505046,1.0,1.0,2.0,0.08,0.0,0,1.0,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.25,0.041666666666666706,1,,,
3.571428571428571,5.400074978495428,1.0,2.0,0.08,0.0,0,1.0,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.24,0.0,1,,,
3.571428571428571,1.0,5.252193798349689,2.0,0.08,0.0,0,1.0,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.23,-0.04166666666666659,1,,,
3.571428571428571,1.0,1.0,20.578109675711083,0.08,0.0,0,1.0,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.27,0.1250000000000001,1,,,
3.571428571428571,1.0,1.0,2.0,0.23723722586016516,0.0,0,1.0,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.92,2.8333333333333335,1,,,
3.571428571428571,1.0,1.0,2.0,0.08,0.13895101032248913,0,1.0,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.55,1.291666666666667,1,,,
3.571428571428571,1.0,1.0,2.0,0.08,0.0,1,1.0,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.2,-0.1666666666666666,1,,,
3.571428571428571,1.0,1.0,2.0,0.08,0.0,0,784.8142461315542,18.0,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.26,0.08333333333333341,1,,,
3.571428571428571,1.0,1.0,2.0,0.08,0.0,0,1.0,102.21531621484853,10.0,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.21,-0.125,1,,,
3.571428571428571,1.0,1.0,2.0,0.08,0.0,0,1.0,18.0,450.1413337692683,1.0,0,4.0,15.0,0,0,2.0,0,328.5,42.0,749.0921354166667,0,3.0,33.33333333333333,20.0,0.4867256637168141,0.2222222222222222,0,2.0,7.0,1.0,0,3.0,15.0,0,1.0,2332.5,0,2.0,0,319.5,46.0,750.1807175925926,0,3.0,33.33333333333333,20.0,0.4864864864864865,0.1967741935483871,0.42487817000000005,0.7840062,0.45684169232845306,0.0,0.27,0.1250000000000001,1,,,
