has_feature_addition,deletions,insertions,num_file_types,is_preventive,project_changes_owner,is_refactoring,whole_within_project_changes,is_merge,num_directory_files,is_corrective,description_length,num_file_changes,project_age,is_non_functional,avg_num_dev_modified_files,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,pctg_cross_project_changes,pctg_cross_project_changes_owner,pctg_mod_file_dep_cha,pred,impact,fold,max_num_mod_file_dep_cha,cross_project_changes_owner,min_num_mod_file_dep_cha,cross_project_changes,whole_changes_owner,num_dev_modified_files
1,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.13,0.08333333333333341,1,,,,,,
0,12.890360284119486,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.09,-0.25,1,,,,,,
0,2.0,239.8089069569067,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.18,0.5,1,,,,,,
0,2.0,13.0,1.6372866862451798,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.12,0.0,1,,,,,,
0,2.0,13.0,1.0,1,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.12,0.0,1,,,,,,
0,2.0,13.0,1.0,0,69.02115139972727,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.13,0.08333333333333341,1,,,,,,
0,2.0,13.0,1.0,0,5.0,1,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.13,0.08333333333333341,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,16.217737226972403,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.27,1.2500000000000002,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,1,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.13,0.08333333333333341,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,3.910438188571889,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.12,0.0,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,1,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.13,0.08333333333333341,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,514.4765228552487,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.11,-0.0833333333333333,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,172.8458926909944,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.21,0.75,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,658.1896992218824,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.11,-0.0833333333333333,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,1,6.0,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.24,1.0,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,36.17633679006275,0.0,5.555555555555555,9.0,0.0,0.0,0.0,0.11,-0.0833333333333333,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.3288523061170442,5.555555555555555,9.0,0.0,0.0,0.0,0.12,0.0,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,42.176561223625384,9.0,0.0,0.0,0.0,0.71,4.916666666666667,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,22.84980245445756,0.0,0.0,0.0,0.24,1.0,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.19915208945161872,0.0,0.0,0.12,0.0,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.1081672716038402,0.0,0.12,0.0,1,,,,,,
0,2.0,13.0,1.0,0,5.0,0,7.5,0,1.0,0,270.0,23.5,435.1528935185185,0,6.0,0.0,5.555555555555555,9.0,0.0,0.0,23.053521063418277,0.12,0.0,1,,,,,,
1,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.7,0.04477611940298495,2,0.0,,,,,
0,1136.619280486259,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.67,0.0,2,0.0,,,,,
0,2.0,9503.09456560752,1.0,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.61,-0.08955223880597023,2,0.0,,,,,
0,2.0,11.0,1.932037041854064,0,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.67,0.0,2,0.0,,,,,
0,2.0,11.0,1.0,1,13.0,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.68,0.01492537313432837,2,0.0,,,,,
0,2.0,11.0,1.0,0,126.26547260175796,0,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.64,-0.044776119402985114,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,1,157.5,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.67,0.0,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,433.25939007182535,0,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.73,0.08955223880597006,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,1,2.0,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.7,0.04477611940298495,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,24.855384474100134,0,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.7,0.04477611940298495,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,1,297.0,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.66,-0.01492537313432837,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,593.6216849131745,32.0,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.68,0.01492537313432837,2,0.0,,,,,
0,2.0,11.0,1.0,0,13.0,0,157.5,0,2.0,0,297.0,283.6648641602842,563.8219328703703,0,5.75,0.0,3.8461538461538463,11.0,0.4714285714285714,0.0,0.0,0.67,0.0,2,0.0,,,,,
