Classifier,Precision,Recall,AUC,Brier,AUC Scores,Precision Scores,Recall Scores,Brier Scores
ET,0.0032072992493071975,0.6544979768438577,0.6828734006793266,0.28884391418279315,"[0.6909940510818775, 0.7056429232192415, 0.6503586050345229, 0.7163193406100479, 0.6968811996894155, 0.6473684960831809, 0.70004664102713, 0.6898267525206786, 0.6846011445336575, 0.6466948529935129]","[0.002206206795116929, 0.0024097595260806266, 0.0022842059846196797, 0.002366863905325444, 0.0019812165431581353, 0.0025179954566603717, 0.0036102301099939266, 0.0031489680114734674, 0.0050328881801873625, 0.006514657980456026]","[0.6923076923076923, 0.6808510638297872, 0.5769230769230769, 0.7272727272727273, 0.6842105263157895, 0.5786163522012578, 0.6858974358974359, 0.6601307189542484, 0.6601307189542484, 0.5986394557823129]","[0.31031698883455955, 0.2696125932601934, 0.276366673451197, 0.2946130107267378, 0.29046946406314916, 0.2840494472580733, 0.285846813938656, 0.280556820969268, 0.2910372901068547, 0.30557003921924236]"
RF,0.006289558408632342,0.6731416078313951,0.7625770508858555,0.14825831500055006,"[0.766538449809522, 0.7902288765001109, 0.7414928364568274, 0.7933550597646355, 0.7579666784064718, 0.7608993707752483, 0.7786136931802109, 0.7761737915921664, 0.7663623915976617, 0.6941393607756996]","[0.00445757788240008, 0.0050173869846001, 0.005492900134400748, 0.004313113701018629, 0.0038901423792110793, 0.005867232901206974, 0.007146569646569647, 0.006830601092896175, 0.00955557558820878, 0.01032448377581121]","[0.6846153846153846, 0.7163120567375887, 0.6025641025641025, 0.7540106951871658, 0.6578947368421053, 0.660377358490566, 0.7051282051282052, 0.6862745098039216, 0.6928104575163399, 0.5714285714285714]","[0.15170071135889351, 0.135995554682153, 0.11988265102013602, 0.16737613416381253, 0.1421298989059687, 0.1388273002388343, 0.14812237877118725, 0.13416792234642744, 0.16041288071527224, 0.18396771780281562]"
XGBoost,0.006336787255237055,0.6617857596631346,0.7585137893045325,0.14505352159805024,"[0.7493926755118508, 0.7650080360291192, 0.7353273025352773, 0.8174401611534267, 0.7565132209949732, 0.7635494072377746, 0.7675867940007653, 0.7888456866729908, 0.7558456125193987, 0.6856289963897487]","[0.0040123168797238035, 0.004462817682153427, 0.005642361111111111, 0.0048351791956614066, 0.004108153426954517, 0.005881047492232579, 0.007315034136825972, 0.00801269937259052, 0.008687019111442046, 0.010411244143675169]","[0.6615384615384615, 0.6737588652482269, 0.5833333333333334, 0.7914438502673797, 0.6447368421052632, 0.6666666666666666, 0.6730769230769231, 0.6928104575163399, 0.6862745098039216, 0.54421768707483]","[0.16292708190528415, 0.14391716529670465, 0.11301155943599497, 0.15661345232532464, 0.13189862899875363, 0.1398075322270715, 0.13818828395276472, 0.1153765287171041, 0.17489278185650942, 0.1739022012649906]"
AdaBoost,0.006905638898648645,0.6630669202217049,0.7647926450843223,0.13379486304462498,"[0.7693097636384109, 0.7849633171265797, 0.7375183423637666, 0.8072248171659513, 0.755822054561206, 0.774828246950507, 0.7815346200747746, 0.7815988948030343, 0.7726599265420122, 0.6824664676169803]","[0.004827472708321905, 0.004845900368288428, 0.005366106975939069, 0.005165970542976479, 0.003914281195634983, 0.007006874669487044, 0.008735063864853728, 0.00814680060112315, 0.010737294201861132, 0.010310623858000523]","[0.676923076923077, 0.7092198581560284, 0.5961538461538461, 0.7540106951871658, 0.6513157894736842, 0.6666666666666666, 0.6794871794871795, 0.673202614379085, 0.6862745098039216, 0.5374149659863946]","[0.1384864963670429, 0.1394379654539171, 0.1214267165446621, 0.1396632554031641, 0.1398476665281817, 0.11727775573552407, 0.1167256141164647, 0.11029540596418684, 0.1413389547139638, 0.1734487996191426]"
MLP,0.006546267580676099,0.6916977992093738,0.7682339031994658,0.15549226181709347,"[0.7444295161108713, 0.8057746361658352, 0.7464675017002436, 0.8115763747185478, 0.7683229408824462, 0.7537777881634496, 0.7651561004081183, 0.7943286699594381, 0.7856870154130736, 0.7068184884726341]","[0.0036637749515707908, 0.004557046699276725, 0.0047221041696179815, 0.0041926974871581285, 0.003337517988915766, 0.005162421467880972, 0.00661187666069332, 0.008408644400785854, 0.012035995500562429, 0.01277059648029902]","[0.6692307692307692, 0.7730496453900709, 0.6410256410256411, 0.8074866310160428, 0.7171052631578947, 0.6666666666666666, 0.6858974358974359, 0.6993464052287581, 0.6993464052287581, 0.5578231292517006]","[0.18052064768694115, 0.16156290870157416, 0.14832153059004358, 0.18434173568784115, 0.1805456307990583, 0.15932659618331893, 0.1558242013103728, 0.11094368714300733, 0.12835647306825615, 0.14517920700052142]"
