Classifier,Precision,Recall,AUC,Brier,AUC Scores,Precision Scores,Recall Scores,Brier Scores
RF,0.1863130802046523,0.9509718005535751,0.8286052007039147,0.27533939796438445,"[0.9350027533128807, 0.864710677109219, 0.831663866660759, 0.8488896042976812, 0.813229742571708, 0.7968195162141871, 0.8068472650461865, 0.7844606309436257, 0.787088686218195, 0.8173392646647056]","[0.14893211289092295, 0.15106034217805553, 0.1438383131370576, 0.1711593691741825, 0.1807881773399015, 0.2519110359927784, 0.21605031257061083, 0.2132202619822821, 0.1986708767807314, 0.1875]","[0.9398315282791817, 0.9976319350473613, 0.982078853046595, 0.9664295874822191, 0.95822454308094, 0.9311372994462587, 0.96761679878563, 0.9232786885245902, 0.9439986043265876, 0.8994901675163874]","[0.06970207113843112, 0.2560736404775511, 0.30319551485010887, 0.255888303705191, 0.3111804407926236, 0.3082768313589819, 0.3244783542094614, 0.32820053438769364, 0.3420390133905818, 0.25435927533322006]"
AdaBoost,0.1901496526976633,0.9442039580144833,0.8272248511575511,0.27090521568566883,"[0.9395862266276234, 0.8629436030037876, 0.8525901893490495, 0.853488360477568, 0.8164925982838751, 0.7978806903303132, 0.7964122137347668, 0.7695314464116649, 0.7798594736727904, 0.8034637096840718]","[0.16511824324324326, 0.1881174342562961, 0.16769414080712844, 0.18762056053557244, 0.1872338595208396, 0.2412998795095329, 0.20398535417546823, 0.19391444065073307, 0.19499053444007572, 0.17152207983774315]","[0.941034897713598, 0.9147496617050067, 0.9668458781362007, 0.9408250355618777, 0.9471279373368147, 0.9667755217946897, 0.9772305616461461, 0.949672131147541, 0.9344033496161898, 0.9033746054867686]","[0.06182525831312648, 0.18413208333976863, 0.2498494138724574, 0.22436560767294236, 0.2955967071833444, 0.3342703136824872, 0.3512904072775573, 0.37666610035986225, 0.34732111140284494, 0.2837351537522974]"
XGBoost,0.19219755650085257,0.9236555366980779,0.8234568363404702,0.261053021761626,"[0.9176146712265022, 0.8622453299676729, 0.833015390760434, 0.8456433354606653, 0.804020799901912, 0.7922372733169335, 0.8040006486701838, 0.7767662147547412, 0.7908757643730091, 0.8081489349726483]","[0.1648912561029738, 0.1581874242924788, 0.15035454375816384, 0.18657532669391513, 0.18268651579037948, 0.24810116967947743, 0.2221070674054291, 0.21726885008449345, 0.20413053400273848, 0.18767287719847608]","[0.8941034897713598, 0.9719215155615697, 0.9626642771804063, 0.9220483641536273, 0.9238468233246301, 0.9275876757063751, 0.9397874852420307, 0.8852459016393442, 0.9363224005582693, 0.8730274338431658]","[0.05947765919656509, 0.23741640539330008, 0.2832254776283071, 0.22246590575625125, 0.2987937665065563, 0.31366704248845506, 0.3069176950283411, 0.31127310917880363, 0.328818323628894, 0.2484748328107866]"
ET,0.1323589638489135,0.7781028328524621,0.7073708271038399,0.3538789441981868,"[0.8462188715047103, 0.6446783297548774, 0.7458335549189845, 0.7526443234248235, 0.7268860132519119, 0.6918402872954139, 0.6970524023321272, 0.6399562469758631, 0.6672932736357672, 0.6613049679439204]","[0.06645270908061167, 0.0668327106683271, 0.11408591408591409, 0.13685969914462687, 0.1536099620452898, 0.20353320742839157, 0.1687263739459145, 0.14726767520839765, 0.15255851434013407, 0.11366287254152757]","[0.8471720818291215, 0.871447902571042, 0.8527479091995221, 0.7920341394025604, 0.7837249782419495, 0.7344881442567088, 0.7829313543599258, 0.7037704918032787, 0.7266224703419399, 0.6860888565185724]","[0.15470987072760128, 0.5613850834787713, 0.3500239393330965, 0.2824686858078367, 0.3218836393964199, 0.3415293372665915, 0.37309836749193015, 0.411833752915193, 0.3815311906343151, 0.3603255749301126]"
MLP,0.0990279631117654,0.8519944403357178,0.6001555731580758,0.6145551145226806,"[0.6772422950730536, 0.6589629345279318, 0.5015762377326924, 0.5485913170848292, 0.720548497696521, 0.6061410946352621, 0.5002642015089172, 0.4992603467760849, 0.6556358340065056, 0.6333329725389591]","[0.020823031701554858, 0.11422891658383669, 0.051864892655719315, 0.05989687320960433, 0.1563746826260428, 0.1346388991324263, 0.09161579476083764, 0.0940865614907984, 0.1752720290164284, 0.09147794994040524]","[0.9121540312876053, 0.5054127198917456, 0.9943249701314217, 0.9815078236130867, 0.7504351610095735, 0.9849495953428936, 0.9998313374936751, 0.9981967213114754, 0.5732728541521284, 0.8198591891235737]","[0.5516394581988354, 0.20150740574852888, 0.9402134461828348, 0.837320648060914, 0.3050952167668, 0.6902559191931672, 0.9078104004818756, 0.9056635828687043, 0.2765842432854032, 0.5294608244397424]"
