Classifier,Precision,Recall,AUC,Brier,AUC Scores,Precision Scores,Recall Scores,Brier Scores
ET,0.002765394680633574,0.5915825726210262,0.6449490557972221,0.3018222673255292,"[0.7170675422710979, 0.6277590086027123, 0.6894477248262598, 0.599839003241099, 0.663350773557835, 0.6458157156575468, 0.6403206282133174, 0.6207837633057521, 0.6369919670086631, 0.6081144312879367]","[0.002701554152501214, 0.0017741788736238742, 0.0027542789691127286, 0.001540808068231339, 0.0019027664942061829, 0.0024135565661441527, 0.002817999220553407, 0.00239098257998406, 0.004007503410641201, 0.00535031847133758]","[0.6846153846153846, 0.5531914893617021, 0.6282051282051282, 0.5294117647058824, 0.5855263157894737, 0.5974842767295597, 0.6025641025641025, 0.5490196078431373, 0.6143790849673203, 0.5714285714285714]","[0.2505445627503846, 0.29781596655169373, 0.24944378548718776, 0.32986900953544857, 0.2589558232931727, 0.3059724134711882, 0.3220366827081038, 0.30764446157619935, 0.3404957476193938, 0.35544422026251954]"
RF,0.013467695958656465,0.6889417610650941,0.8084197656332691,0.07239423529128607,"[0.7774602037082216, 0.8208169233337326, 0.7899465830732298, 0.8271720338666269, 0.7897388328630117, 0.7815051807356759, 0.8162276528805766, 0.8332665949400946, 0.821900995895891, 0.8261626550356291]","[0.013019529293940912, 0.012294567808305106, 0.014052193862919416, 0.00949389179755672, 0.011437515049361907, 0.011678150181011327, 0.014437590234938968, 0.01256890848952591, 0.018161180476730987, 0.017533432392273403]","[0.6, 0.6950354609929078, 0.6282051282051282, 0.7272727272727273, 0.625, 0.6289308176100629, 0.7051282051282052, 0.7450980392156863, 0.7320261437908496, 0.8027210884353742]","[0.04543100428033938, 0.05364197572693822, 0.04866613794119918, 0.07312051020041387, 0.04579975072704612, 0.06629791272823457, 0.07300786610231731, 0.07880120545257034, 0.08862397324998182, 0.1505520165038199]"
XGBoost,0.011748163706949994,0.7885746027514937,0.8448832871358208,0.09891772978348415,"[0.7786609538911929, 0.8615706552406407, 0.8701990073279375, 0.8458919234185899, 0.853456667426301, 0.8168415721595016, 0.852719882850247, 0.8864808025349122, 0.8570622842523962, 0.8259491222564906]","[0.013742071881606765, 0.008976377952755906, 0.011961947819534708, 0.01367437284800787, 0.011304941038885099, 0.007348029392117568, 0.012465097726366175, 0.011299435028248588, 0.010890302066772654, 0.0158190613152046]","[0.6, 0.8085106382978723, 0.8141025641025641, 0.7433155080213903, 0.7631578947368421, 0.7610062893081762, 0.8012820512820513, 0.8758169934640523, 0.8954248366013072, 0.8231292517006803]","[0.04303188167374979, 0.0854707225674421, 0.0738273875113173, 0.05172865307296133, 0.05639662096662512, 0.12746127694665516, 0.09599737152354999, 0.10288397519010407, 0.18112960674565676, 0.17124980163677994]"
AdaBoost,0.007135067831301856,0.7050506346670548,0.7715509095261118,0.16210015462329957,"[0.7427491695910823, 0.7836846961390018, 0.7441931386723236, 0.7424874638289826, 0.7725817873896985, 0.7683274531814399, 0.7999334444082136, 0.8003870998814018, 0.7933470790888528, 0.7678177630801206]","[0.006215297919946963, 0.006020278833967047, 0.00709163974470097, 0.0019671912510002667, 0.006121277816744246, 0.007918463347706782, 0.007242374025655189, 0.007747068676716918, 0.010725132877752468, 0.010301953818827708]","[0.5769230769230769, 0.6737588652482269, 0.5769230769230769, 0.946524064171123, 0.631578947368421, 0.6352201257861635, 0.7564102564102564, 0.7254901960784313, 0.738562091503268, 0.7891156462585034]","[0.09175311124312632, 0.10659953513901783, 0.08890308181441736, 0.4611572963896748, 0.08665281816922864, 0.09889451614659914, 0.15667459075008214, 0.1249167747135298, 0.15211165224976375, 0.25333816961755573]"
MLP,0.007029249221395702,0.560174061831889,0.6958060525702462,0.16874983960574158,"[0.578340577908308, 0.5567708536278546, 0.5484587234885847, 0.8250988381297495, 0.7359531396489205, 0.772878141090137, 0.7400317367436001, 0.735167607110391, 0.7310725879503606, 0.7342883200045554]","[0.0033188372625314717, 0.006039415130324221, 0.009809578765147143, 0.00571518045878024, 0.006167793713309058, 0.003601833660772757, 0.019622093023255814, 0.004247400995105376, 0.004516946674032431, 0.007253412530698498]","[0.2230769230769231, 0.1347517730496454, 0.10897435897435898, 0.7807486631016043, 0.5460526315789473, 0.8301886792452831, 0.5192307692307693, 0.6862745098039216, 0.9084967320261438, 0.8639455782312925]","[0.0670992703620771, 0.022016520861144806, 0.013019279763617605, 0.13063615870847817, 0.07446614042376402, 0.2842906154456555, 0.039833014437293444, 0.21607036478957142, 0.4455622592134913, 0.39450477205232254]"
